,p1_center,p1_sigma,p2_amplitude,p2_center,p2_sigma,tmean,tstart,tstop,kinetics
2160.0,0.569,0.1472,0.5342,0.929,0.062,2160.0,2130,2190,0.5342
2170.0,0.569,0.1472,0.556,0.929,0.062,2170.0,2140,2200,0.556
2180.0,0.569,0.1472,0.5498,0.929,0.062,2180.0,2150,2210,0.5498
2190.0,0.569,0.1472,0.5161,0.929,0.062,2190.0,2160,2220,0.5161
2200.0,0.569,0.1472,0.5023,0.929,0.062,2200.0,2170,2230,0.5023
2210.0,0.569,0.1472,0.4984,0.929,0.062,2210.0,2180,2240,0.4984
2220.0,0.569,0.1472,0.5125,0.929,0.062,2220.0,2190,2250,0.5125
2230.0,0.569,0.1472,0.4228,0.929,0.062,2230.0,2200,2260,0.4228
2240.0,0.569,0.1472,0.4655,0.929,0.062,2240.0,2210,2270,0.4655
2250.0,0.569,0.1472,0.5075,0.929,0.062,2250.0,2220,2280,0.5075
2260.0,0.569,0.1472,0.5062,0.929,0.062,2260.0,2230,2290,0.5062
2270.0,0.569,0.1472,0.4957,0.929,0.062,2270.0,2240,2300,0.4957
2280.0,0.569,0.1472,0.4621,0.929,0.062,2280.0,2250,2310,0.4621
2290.0,0.569,0.1472,0.4831,0.929,0.062,2290.0,2260,2320,0.4831
2300.0,0.569,0.1472,0.4853,0.929,0.062,2300.0,2270,2330,0.4853
2310.0,0.569,0.1472,0.4812,0.929,0.062,2310.0,2280,2340,0.4812
2320.0,0.569,0.1472,0.4928,0.929,0.062,2320.0,2290,2350,0.4928
2330.0,0.569,0.1472,0.4819,0.929,0.062,2330.0,2300,2360,0.4819
2340.0,0.569,0.1472,0.5312,0.929,0.062,2340.0,2310,2370,0.5312
2350.0,0.569,0.1472,0.582,0.929,0.062,2350.0,2320,2380,0.582
2360.0,0.569,0.1472,0.561,0.929,0.062,2360.0,2330,2390,0.561
2370.0,0.569,0.1472,0.553,0.929,0.062,2370.0,2340,2400,0.553
2380.0,0.569,0.1472,0.5333,0.929,0.062,2380.0,2350,2410,0.5333
2390.0,0.569,0.1472,0.5562,0.929,0.062,2390.0,2360,2420,0.5562
2400.0,0.569,0.1472,0.5023,0.929,0.062,2400.0,2370,2430,0.5023
2410.0,0.569,0.1472,0.4939,0.929,0.062,2410.0,2380,2440,0.4939
2420.0,0.569,0.1472,0.4604,0.929,0.062,2420.0,2390,2450,0.4604
2430.0,0.569,0.1472,0.4891,0.929,0.062,2430.0,2400,2460,0.4891
2440.0,0.569,0.1472,0.4963,0.929,0.062,2440.0,2410,2470,0.4963
2450.0,0.569,0.1472,0.4909,0.929,0.062,2450.0,2420,2480,0.4909
2460.0,0.569,0.1472,0.5124,0.929,0.062,2460.0,2430,2490,0.5124
2470.0,0.569,0.1472,0.4954,0.929,0.062,2470.0,2440,2500,0.4954
2480.0,0.569,0.1472,0.5199,0.929,0.062,2480.0,2450,2510,0.5199
2490.0,0.569,0.1472,0.519,0.929,0.062,2490.0,2460,2520,0.519
2500.0,0.569,0.1472,0.5424,0.929,0.062,2500.0,2470,2530,0.5424
2510.0,0.569,0.1472,0.5488,0.929,0.062,2510.0,2480,2540,0.5488
2520.0,0.569,0.1472,0.5378,0.929,0.062,2520.0,2490,2550,0.5378
2530.0,0.569,0.1472,0.5318,0.929,0.062,2530.0,2500,2560,0.5318
2540.0,0.569,0.1472,0.5354,0.929,0.062,2540.0,2510,2570,0.5354
2550.0,0.569,0.1472,0.4902,0.929,0.062,2550.0,2520,2580,0.4902
2560.0,0.569,0.1472,0.4577,0.929,0.062,2560.0,2530,2590,0.4577
2570.0,0.569,0.1472,0.4477,0.929,0.062,2570.0,2540,2600,0.4477
2580.0,0.569,0.1472,0.4436,0.929,0.062,2580.0,2550,2610,0.4436
2590.0,0.569,0.1472,0.425,0.929,0.062,2590.0,2560,2620,0.425
2600.0,0.569,0.1472,0.4224,0.929,0.062,2600.0,2570,2630,0.4224
2610.0,0.569,0.1472,0.443,0.929,0.062,2610.0,2580,2640,0.443
2620.0,0.569,0.1472,0.4914,0.929,0.062,2620.0,2590,2650,0.4914
2630.0,0.569,0.1472,0.5287,0.929,0.062,2630.0,2600,2660,0.5287
2640.0,0.569,0.1472,0.5306,0.929,0.062,2640.0,2610,2670,0.5306
2650.0,0.569,0.1472,0.5766,0.929,0.062,2650.0,2620,2680,0.5766
2660.0,0.569,0.1472,0.5516,0.929,0.062,2660.0,2630,2690,0.5516
2670.0,0.569,0.1472,0.5407,0.929,0.062,2670.0,2640,2700,0.5407
2680.0,0.569,0.1472,0.5338,0.929,0.062,2680.0,2650,2710,0.5338
