,p1_center,p1_sigma,p2_amplitude,p2_center,p2_sigma,tmean,tstart,tstop,kinetics
420.0,0.569,0.1472,0.3976,0.929,0.062,420.0,390,450,0.3976
430.0,0.569,0.1472,0.4672,0.929,0.062,430.0,400,460,0.4672
440.0,0.569,0.1472,0.44,0.929,0.062,440.0,410,470,0.44
450.0,0.569,0.1472,0.4011,0.929,0.062,450.0,420,480,0.4011
460.0,0.569,0.1472,0.4136,0.929,0.062,460.0,430,490,0.4136
470.0,0.569,0.1472,0.4272,0.929,0.062,470.0,440,500,0.4272
480.0,0.569,0.1472,0.4154,0.929,0.062,480.0,450,510,0.4154
490.0,0.569,0.1472,0.3886,0.929,0.062,490.0,460,520,0.3886
500.0,0.569,0.1472,0.4763,0.929,0.062,500.0,470,530,0.4763
510.0,0.569,0.1472,0.5153,0.929,0.062,510.0,480,540,0.5153
520.0,0.569,0.1472,0.527,0.929,0.062,520.0,490,550,0.527
530.0,0.569,0.1472,0.4971,0.929,0.062,530.0,500,560,0.4971
540.0,0.569,0.1472,0.4969,0.929,0.062,540.0,510,570,0.4969
550.0,0.569,0.1472,0.5215,0.929,0.062,550.0,520,580,0.5215
560.0,0.569,0.1472,0.5041,0.929,0.062,560.0,530,590,0.5041
570.0,0.569,0.1472,0.5327,0.929,0.062,570.0,540,600,0.5327
580.0,0.569,0.1472,0.5435,0.929,0.062,580.0,550,610,0.5435
590.0,0.569,0.1472,0.5584,0.929,0.062,590.0,560,620,0.5584
600.0,0.569,0.1472,0.5593,0.929,0.062,600.0,570,630,0.5593
610.0,0.569,0.1472,0.5383,0.929,0.062,610.0,580,640,0.5383
620.0,0.569,0.1472,0.5212,0.929,0.062,620.0,590,650,0.5212
630.0,0.569,0.1472,0.4369,0.929,0.062,630.0,600,660,0.4369
640.0,0.569,0.1472,0.4297,0.929,0.062,640.0,610,670,0.4297
650.0,0.569,0.1472,0.4261,0.929,0.062,650.0,620,680,0.4261
660.0,0.569,0.1472,0.4284,0.929,0.062,660.0,630,690,0.4284
670.0,0.569,0.1472,0.4517,0.929,0.062,670.0,640,700,0.4517
680.0,0.569,0.1472,0.4985,0.929,0.062,680.0,650,710,0.4985
690.0,0.569,0.1472,0.5319,0.929,0.062,690.0,660,720,0.5319
700.0,0.569,0.1472,0.4908,0.929,0.062,700.0,670,730,0.4908
710.0,0.569,0.1472,0.5391,0.929,0.062,710.0,680,740,0.5391
720.0,0.569,0.1472,0.5119,0.929,0.062,720.0,690,750,0.5119
730.0,0.569,0.1472,0.488,0.929,0.062,730.0,700,760,0.488
740.0,0.569,0.1472,0.4172,0.929,0.062,740.0,710,770,0.4172
750.0,0.569,0.1472,0.4156,0.929,0.062,750.0,720,780,0.4156
760.0,0.569,0.1472,0.4472,0.929,0.062,760.0,730,790,0.4472
770.0,0.569,0.1472,0.4522,0.929,0.062,770.0,740,800,0.4522
780.0,0.569,0.1472,0.4749,0.929,0.062,780.0,750,810,0.4749
790.0,0.569,0.1472,0.4137,0.929,0.062,790.0,760,820,0.4137
800.0,0.569,0.1472,0.3727,0.929,0.062,800.0,770,830,0.3727
810.0,0.569,0.1472,0.3597,0.929,0.062,810.0,780,840,0.3597
820.0,0.569,0.1472,0.3248,0.929,0.062,820.0,790,850,0.3248
830.0,0.569,0.1472,0.2949,0.929,0.062,830.0,800,860,0.2949
840.0,0.569,0.1472,0.2977,0.929,0.062,840.0,810,870,0.2977
850.0,0.569,0.1472,0.3114,0.929,0.062,850.0,820,880,0.3114
860.0,0.569,0.1472,0.3367,0.929,0.062,860.0,830,890,0.3367
870.0,0.569,0.1472,0.3798,0.929,0.062,870.0,840,900,0.3798
880.0,0.569,0.1472,0.4138,0.929,0.062,880.0,850,910,0.4138
890.0,0.569,0.1472,0.4423,0.929,0.062,890.0,860,920,0.4423
900.0,0.569,0.1472,0.4747,0.929,0.062,900.0,870,930,0.4747
910.0,0.569,0.1472,0.4946,0.929,0.062,910.0,880,940,0.4946
920.0,0.569,0.1472,0.5073,0.929,0.062,920.0,890,950,0.5073
930.0,0.569,0.1472,0.566,0.929,0.062,930.0,900,960,0.566
940.0,0.569,0.1472,0.5526,0.929,0.062,940.0,910,970,0.5526
950.0,0.569,0.1472,0.5169,0.929,0.062,950.0,920,980,0.5169
960.0,0.569,0.1472,0.5703,0.929,0.062,960.0,930,990,0.5703
970.0,0.569,0.1472,0.5303,0.929,0.062,970.0,940,1000,0.5303
980.0,0.569,0.1472,0.5105,0.929,0.062,980.0,950,1010,0.5105
990.0,0.569,0.1472,0.466,0.929,0.062,990.0,960,1020,0.466
1000.0,0.569,0.1472,0.4359,0.929,0.062,1000.0,970,1030,0.4359
1010.0,0.569,0.1472,0.4293,0.929,0.062,1010.0,980,1040,0.4293
1020.0,0.569,0.1472,0.3371,0.929,0.062,1020.0,990,1050,0.3371
1030.0,0.569,0.1472,0.4081,0.929,0.062,1030.0,1000,1060,0.4081
1040.0,0.569,0.1472,0.4001,0.929,0.062,1040.0,1010,1070,0.4001
1050.0,0.569,0.1472,0.4772,0.929,0.062,1050.0,1020,1080,0.4772
1060.0,0.569,0.1472,0.53,0.929,0.062,1060.0,1030,1090,0.53
1070.0,0.569,0.1472,0.5507,0.929,0.062,1070.0,1040,1100,0.5507
1080.0,0.569,0.1472,0.6297,0.929,0.062,1080.0,1050,1110,0.6297
1090.0,0.569,0.1472,0.5046,0.929,0.062,1090.0,1060,1120,0.5046
1100.0,0.569,0.1472,0.4925,0.929,0.062,1100.0,1070,1130,0.4925
1110.0,0.569,0.1472,0.4151,0.929,0.062,1110.0,1080,1140,0.4151
1120.0,0.569,0.1472,0.4218,0.929,0.062,1120.0,1090,1150,0.4218
1130.0,0.569,0.1472,0.441,0.929,0.062,1130.0,1100,1160,0.441
1140.0,0.569,0.1472,0.3683,0.929,0.062,1140.0,1110,1170,0.3683
1150.0,0.569,0.1472,0.45,0.929,0.062,1150.0,1120,1180,0.45
1160.0,0.569,0.1472,0.4834,0.929,0.062,1160.0,1130,1190,0.4834
1170.0,0.569,0.1472,0.5093,0.929,0.062,1170.0,1140,1200,0.5093
1180.0,0.569,0.1472,0.4689,0.929,0.062,1180.0,1150,1210,0.4689
1190.0,0.569,0.1472,0.4725,0.929,0.062,1190.0,1160,1220,0.4725
1200.0,0.569,0.1472,0.5135,0.929,0.062,1200.0,1170,1230,0.5135
1210.0,0.569,0.1472,0.6136,0.929,0.062,1210.0,1180,1240,0.6136
1220.0,0.569,0.1472,0.5821,0.929,0.062,1220.0,1190,1250,0.5821
1230.0,0.569,0.1472,0.5689,0.929,0.062,1230.0,1200,1260,0.5689
1240.0,0.569,0.1472,0.5904,0.929,0.062,1240.0,1210,1270,0.5904
1250.0,0.569,0.1472,0.5589,0.929,0.062,1250.0,1220,1280,0.5589
1260.0,0.569,0.1472,0.5296,0.929,0.062,1260.0,1230,1290,0.5296
1270.0,0.569,0.1472,0.4691,0.929,0.062,1270.0,1240,1300,0.4691
1280.0,0.569,0.1472,0.4607,0.929,0.062,1280.0,1250,1310,0.4607
1290.0,0.569,0.1472,0.4694,0.929,0.062,1290.0,1260,1320,0.4694
1300.0,0.569,0.1472,0.4975,0.929,0.062,1300.0,1270,1330,0.4975
1310.0,0.569,0.1472,0.5194,0.929,0.062,1310.0,1280,1340,0.5194
1320.0,0.569,0.1472,0.5019,0.929,0.062,1320.0,1290,1350,0.5019
1330.0,0.569,0.1472,0.4844,0.929,0.062,1330.0,1300,1360,0.4844
1340.0,0.569,0.1472,0.4926,0.929,0.062,1340.0,1310,1370,0.4926
1350.0,0.569,0.1472,0.4447,0.929,0.062,1350.0,1320,1380,0.4447
1360.0,0.569,0.1472,0.3895,0.929,0.062,1360.0,1330,1390,0.3895
1370.0,0.569,0.1472,0.3522,0.929,0.062,1370.0,1340,1400,0.3522
1380.0,0.569,0.1472,0.398,0.929,0.062,1380.0,1350,1410,0.398
1390.0,0.569,0.1472,0.4352,0.929,0.062,1390.0,1360,1420,0.4352
1400.0,0.569,0.1472,0.5076,0.929,0.062,1400.0,1370,1430,0.5076
1410.0,0.569,0.1472,0.5716,0.929,0.062,1410.0,1380,1440,0.5716
1420.0,0.569,0.1472,0.5567,0.929,0.062,1420.0,1390,1450,0.5567
1430.0,0.569,0.1472,0.5926,0.929,0.062,1430.0,1400,1460,0.5926
1440.0,0.569,0.1472,0.5547,0.929,0.062,1440.0,1410,1470,0.5547
1450.0,0.569,0.1472,0.5232,0.929,0.062,1450.0,1420,1480,0.5232
1460.0,0.569,0.1472,0.5006,0.929,0.062,1460.0,1430,1490,0.5006
1470.0,0.569,0.1472,0.4553,0.929,0.062,1470.0,1440,1500,0.4553
1480.0,0.569,0.1472,0.4275,0.929,0.062,1480.0,1450,1510,0.4275
1490.0,0.569,0.1472,0.418,0.929,0.062,1490.0,1460,1520,0.418
1500.0,0.569,0.1472,0.4451,0.929,0.062,1500.0,1470,1530,0.4451
1510.0,0.569,0.1472,0.4391,0.929,0.062,1510.0,1480,1540,0.4391
1520.0,0.569,0.1472,0.4249,0.929,0.062,1520.0,1490,1550,0.4249
1530.0,0.569,0.1472,0.4768,0.929,0.062,1530.0,1500,1560,0.4768
1540.0,0.569,0.1472,0.5316,0.929,0.062,1540.0,1510,1570,0.5316
1550.0,0.569,0.1472,0.5173,0.929,0.062,1550.0,1520,1580,0.5173
1560.0,0.569,0.1472,0.5108,0.929,0.062,1560.0,1530,1590,0.5108
1570.0,0.569,0.1472,0.488,0.929,0.062,1570.0,1540,1600,0.488
1580.0,0.569,0.1472,0.4889,0.929,0.062,1580.0,1550,1610,0.4889
1590.0,0.569,0.1472,0.4947,0.929,0.062,1590.0,1560,1620,0.4947
1600.0,0.569,0.1472,0.487,0.929,0.062,1600.0,1570,1630,0.487
1610.0,0.569,0.1472,0.5369,0.929,0.062,1610.0,1580,1640,0.5369
1620.0,0.569,0.1472,0.5871,0.929,0.062,1620.0,1590,1650,0.5871
1630.0,0.569,0.1472,0.6326,0.929,0.062,1630.0,1600,1660,0.6326
1640.0,0.569,0.1472,0.6626,0.929,0.062,1640.0,1610,1670,0.6626
1650.0,0.569,0.1472,0.6084,0.929,0.062,1650.0,1620,1680,0.6084
