,tmean,tstart,tstop,size_mean,size_max,num_bursts,burst_width,burst_width_high,phrate_mean
204,1230.0,1140.0,1320.0,131.21,678.8,355,3.67,3.28,217263.2
205,1240.0,1150.0,1330.0,133.98,678.8,364,3.67,3.29,222483.3
206,1250.0,1160.0,1340.0,135.79,678.8,353,3.68,3.29,226653.5
207,1260.0,1170.0,1350.0,133.93,678.8,354,3.59,3.22,230808.6
208,1270.0,1180.0,1360.0,133.16,678.8,359,3.56,3.21,231996.9
209,1280.0,1190.0,1370.0,133.55,678.8,363,3.56,3.2,232280.1
210,1290.0,1200.0,1380.0,132.72,678.8,379,3.55,3.17,228075.2
211,1300.0,1210.0,1390.0,131.19,678.8,381,3.51,3.21,225554.9
212,1310.0,1220.0,1400.0,132.84,612.8,371,3.52,3.21,221571.5
213,1320.0,1230.0,1410.0,132.92,612.8,375,3.48,3.17,225306.7
214,1330.0,1240.0,1420.0,132.51,612.8,376,3.46,3.17,227197.1
215,1340.0,1250.0,1430.0,132.08,612.8,384,3.46,3.17,223467.7
216,1350.0,1260.0,1440.0,131.78,612.8,390,3.44,3.16,224551.9
217,1360.0,1270.0,1450.0,132.49,612.8,403,3.45,3.17,225504.8
218,1370.0,1280.0,1460.0,133.32,612.8,388,3.42,3.15,229690.9
219,1380.0,1290.0,1470.0,134.4,612.8,399,3.43,3.2,230208.3
220,1390.0,1300.0,1480.0,134.83,612.8,412,3.48,3.2,227104.3
221,1400.0,1310.0,1490.0,135.44,612.8,400,3.48,3.23,228930.3
222,1410.0,1320.0,1500.0,136.17,612.8,394,3.5,3.22,229267.6
223,1420.0,1330.0,1510.0,133.69,612.8,398,3.5,3.23,223957.7
224,1430.0,1340.0,1520.0,132.98,612.8,405,3.5,3.25,220552.1
225,1440.0,1350.0,1530.0,132.27,612.8,408,3.49,3.24,214595.6
226,1450.0,1360.0,1540.0,132.13,612.8,419,3.5,3.25,213995.5
227,1460.0,1370.0,1550.0,131.23,612.8,420,3.49,3.25,215917.7
228,1470.0,1380.0,1560.0,132.0,612.8,417,3.47,3.26,221623.7
229,1480.0,1390.0,1570.0,133.39,612.8,427,3.48,3.24,223209.2
230,1490.0,1400.0,1580.0,131.72,491.6,436,3.48,3.24,224960.8
231,1500.0,1410.0,1590.0,132.16,491.6,430,3.5,3.26,220992.4
232,1510.0,1420.0,1600.0,134.17,491.6,448,3.53,3.25,221832.8
233,1520.0,1430.0,1610.0,133.53,491.6,442,3.52,3.25,221363.6
234,1530.0,1440.0,1620.0,132.81,491.6,437,3.49,3.24,220588.4
235,1540.0,1450.0,1630.0,133.89,491.6,427,3.53,3.3,220608.2
236,1550.0,1460.0,1640.0,133.44,491.6,436,3.55,3.32,218303.6
237,1560.0,1470.0,1650.0,133.06,477.1,429,3.53,3.26,218551.6
238,1570.0,1480.0,1660.0,132.65,485.3,424,3.51,3.28,218079.5
239,1580.0,1490.0,1670.0,131.93,485.3,424,3.52,3.27,215356.3
240,1590.0,1500.0,1680.0,135.49,731.9,434,3.57,3.32,219040.4
241,1600.0,1510.0,1690.0,136.68,731.9,434,3.59,3.39,218435.8
242,1610.0,1520.0,1700.0,139.41,731.9,444,3.6,3.37,223981.0
243,1620.0,1530.0,1710.0,142.7,854.8,441,3.65,3.41,227502.7
244,1630.0,1540.0,1720.0,142.24,854.8,442,3.64,3.41,227271.7
245,1640.0,1550.0,1730.0,142.59,854.8,434,3.65,3.42,226121.8
246,1650.0,1560.0,1740.0,144.75,854.8,429,3.68,3.47,226395.7
247,1660.0,1570.0,1750.0,143.81,854.8,424,3.66,3.51,226650.0
248,1670.0,1580.0,1760.0,142.28,854.8,416,3.63,3.49,222488.6
249,1680.0,1590.0,1770.0,145.09,854.8,419,3.67,3.5,224801.0
250,1690.0,1600.0,1780.0,142.96,854.8,411,3.64,3.47,220801.9
251,1700.0,1610.0,1790.0,142.33,854.8,425,3.62,3.45,223014.4
252,1710.0,1620.0,1800.0,143.38,854.8,414,3.64,3.47,221354.0
253,1720.0,1630.0,1810.0,143.81,854.8,427,3.61,3.39,225012.4
254,1730.0,1640.0,1820.0,142.19,854.8,446,3.58,3.37,224913.2
255,1740.0,1650.0,1830.0,141.05,854.8,441,3.57,3.36,224766.1
256,1750.0,1660.0,1840.0,140.59,854.8,439,3.53,3.32,226975.9
257,1760.0,1670.0,1850.0,141.17,854.8,452,3.54,3.33,226073.7
258,1770.0,1680.0,1860.0,137.42,854.8,433,3.48,3.27,223103.9
259,1780.0,1690.0,1870.0,135.73,854.8,432,3.44,3.15,221693.9
260,1790.0,1700.0,1880.0,132.69,854.8,437,3.41,3.15,214372.7
261,1800.0,1710.0,1890.0,131.31,753.4,440,3.38,3.12,212857.1
262,1810.0,1720.0,1900.0,132.69,753.4,429,3.39,3.11,211892.2
